,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/1M pop,Population
1,USA,83356490,71798,1023513,305.0,80836418,38675,1496559,1655,249149,3059,1008201262,3013472,334564690
2,India,43091299,2898,52392,0.0,42544689,0,2269,698,30672,373,838628250,59693,1404902630
3,Brazil,30502501,20072,663816,51.0,29602372,17068,236313,8318,141653,3083,63776166,296176,215332283
4,France,28805690,47925,146376,114.0,27301135,137222,1358179,1511,439523,2233,269816888,4116918,65538567
5,Germany,25116363,16696,136405,222.0,22841300,1827,2138658,1446,298027,1619,122332384,1451576,84275579
6,UK,22090523,8447,175546,227.0,21396057,38508,51892,278,322299,2561,518646957,7567021,68540442
7,Russia,18206167,5093,376421,129.0,17569936,6664,25981,23,124658,2577,273400000,1871971,146049292
8,S. Korea,17395791,49038,23079,72.0,0,0,0,432,338768,449,15804065,307771,51350154
9,Italy,16633911,47039,164041,152.0,15282800,60381,1187070,371,275859,272,214930050,3564424,60298685
10,Turkey,15037242,1132,98808,7.0,14934029,1185,4405,975,174843,1149,159413862,1853553,86004468
11,Spain,11953481,0,104668,0.0,11446906,0,401907,339,255482,2237,471036328,10067458,46788010
12,Vietnam,10662446,3088,43047,3.0,9309336,42055,1310063,480,10776,435,85802635,867168,98945817
13,Argentina,9083673,0,128653,0.0,8895999,0,59021,372,197657,2799,35716069,777165,45956854
14,Netherlands,8054728,1679,22266,4.0,7898763,12318,133699,58,468177,1294,21107399,1226857,17204447
15,Japan,7952192,27062,29683,52.0,7551278,33437,371231,174,6323,236,49009025,389684,125766020
16,Iran,7223828,252,141138,7.0,6994857,2856,87833,1024,84031,1642,50914586,592266,85965722
17,Colombia,6092667,0,139797,0.0,5926476,0,26394,342,117442,2695,34465052,664346,51878141
18,Australia,6076457,46578,7367,56.0,5699816,0,369274,142,233326,283,69630203,2673682,26042818
19,Indonesia,6047491,176,156321,16.0,5884325,266,6845,2771,21689,561,95739932,343361,278831339
20,Poland,5997998,173,11607,1.0,5334779,12,547149,1125,158801,3073,36120899,956324,37770548
21,Mexico,5740080,0,32435,0.0,5039624,0,376106,4798,43678,2468,15801675,120239,131418619
22,Ukraine,5002870,0,108411,0.0,0,0,0,177,115669,2507,19521252,451341,43251694
23,Malaysia,4452835,1054,35567,3.0,4388491,4107,28777,74,134417,1074,58863643,1776911,33126954
24,Thailand,4290824,9288,28863,82.0,4153310,19119,108651,1496,61191,412,17270775,246298,70121394
25,Austria,4161004,676,182,17.0,4070732,6978,72072,83,457218,2,183522680,20165767,9100704
26,Israel,4085418,2457,10699,0.0,4052605,3798,22114,150,438068,1147,41373364,4436346,9326000
27,Belgium,4071279,0,31494,0.0,3839678,0,200107,131,348503,2696,33643042,2879858,11682186
28,Czechia,3909167,1372,40184,0.0,3856735,869,12248,32,363798,374,55239501,5140739,10745440
29,Portugal,3853800,0,2228,0.0,0,0,0,61,379978,2197,41418112,4083759,10142155
30,South Africa,3808368,617,100407,30.0,3663153,1518,44808,192,62761,1655,24554412,404648,60680863
31,Canada,3771460,10199,39481,129.0,3470114,3565,261865,468,98345,103,61084458,1592839,38349433
32,Philippines,3686375,159,60439,27.0,3621244,585,4692,289,32839,538,29637969,264018,112257415
33,Switzerland,3619035,0,13865,0.0,3489351,0,115819,69,412624,1581,20851897,2377430,8770773
34,Peru,3567863,692,212891,14.0,0,0,0,295,105512,6296,29946934,88562,33814658
35,Chile,3566183,2533,5758,36.0,3432369,3257,76234,197,18366,2965,37153233,1913405,19417334
36,Greece,3343565,8015,29284,35.0,3237163,0,77118,231,323687,2835,80206153,7764662,10329639
37,Denmark,2969194,893,6207,16.0,2948237,2169,1475,8,509328,1065,127255034,21828992,5829634
38,Romania,2896843,831,65519,7.0,2606660,0,224664,179,152447,3448,22771264,1198346,19002238
39,Sweden,2500917,0,18739,0.0,2471212,511,10966,21,244832,1834,18513445,1812408,10214832
40,Iraq,2325352,65,25212,0.0,2298571,179,1569,14,55526,602,18487755,441464,41878259
