#;Country, Other;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;New Recovered;Active Cases;Serious, Critical;Tot Cases/ 1M pop;Deaths/ 1M pop;Total Tests;Tests/1M pop;Population
;World;513,697,783;154,755;6,262,191;623;467,939,862;337,659;39,495,730;40,904;65,903;803.4;;;
1;USA;83,356,490;71,798;1,023,513;305;80,836,418;38,675;1,496,559;1,655;249,149;3,059;1,008,201,262;3,013,472;334,564,690
2;India;43,091,299;2,898;523,92;;42,544,689;;22,69;698;30,672;373;838,628,250;596,93;1,404,902,630
3;Brazil;30,502,501;20,072;663,816;51;29,602,372;17,068;236,313;8,318;141,653;3,083;63,776,166;296,176;215,332,283
4;France;28,805,690;47,925;146,376;114;27,301,135;137,222;1,358,179;1,511;439,523;2,233;269,816,888;4,116,918;65,538,567
5;Germany;25,116,363;166,96;136,405;222;22,841,300;182,7;2,138,658;1,446;298,027;1,619;122,332,384;1,451,576;84,275,579
6;UK;22,090,523;8,447;175,546;227;21,396,057;38,508;518,92;278;322,299;2,561;518,646,957;7,567,021;68,540,442
7;Russia;18,206,167;5,093;376,421;129;17,569,936;6,664;259,81;2,3;124,658;2,577;273,400,000;1,871,971;146,049,292
8;S. Korea;17,395,791;49,038;23,079;72;N/A;N/A;N/A;432;338,768;449;15,804,065;307,771;51,350,154
9;Italy;16,633,911;47,039;164,041;152;15,282,800;60,381;1,187,070;371;275,859;2,72;214,930,050;3,564,424;60,298,685
10;Turkey;15,037,242;1,132;98,808;7;14,934,029;1,185;4,405;975;174,843;1,149;159,413,862;1,853,553;86,004,468
11;Spain;11,953,481;;104,668;;11,446,906;;401,907;339;255,482;2,237;471,036,328;10,067,458;46,788,010
12;Vietnam;10,662,446;3,088;43,047;3;9,309,336;42,055;1,310,063;480;107,76;435;85,802,635;867,168;98,945,817
13;Argentina;9,083,673;;128,653;;8,895,999;;59,021;372;197,657;2,799;35,716,069;777,165;45,956,854
14;Netherlands;8,054,728;1,679;22,266;4;7,898,763;12,318;133,699;58;468,177;1,294;21,107,399;1,226,857;17,204,447
15;Japan;7,952,192;27,062;29,683;52;7,551,278;33,437;371,231;174;63,23;236;49,009,025;389,684;125,766,020
16;Iran;7,223,828;252;141,138;7;6,994,857;2,856;87,833;1,024;84,031;1,642;50,914,586;592,266;85,965,722
17;Colombia;6,092,667;;139,797;;5,926,476;;26,394;342;117,442;2,695;34,465,052;664,346;51,878,141
18;Australia;6,076,457;46,578;7,367;56;5,699,816;;369,274;142;233,326;283;69,630,203;2,673,682;26,042,818
19;Indonesia;6,047,491;176;156,321;16;5,884,325;266;6,845;2,771;21,689;561;95,739,932;343,361;278,831,339
20;Poland;5,997,998;173;116,07;1;5,334,779;12;547,149;1,125;158,801;3,073;36,120,899;956,324;37,770,548
21;Mexico;5,740,080;;324,35;;5,039,624;;376,106;4,798;43,678;2,468;15,801,675;120,239;131,418,619
22;Ukraine;5,002,870;;108,411;;N/A;N/A;N/A;177;115,669;2,507;19,521,252;451,341;43,251,694
23;Malaysia;4,452,835;1,054;35,567;3;4,388,491;4,107;28,777;74;134,417;1,074;58,863,643;1,776,911;33,126,954
24;Thailand;4,290,824;9,288;28,863;82;4,153,310;19,119;108,651;1,496;61,191;412;17,270,775;246,298;70,121,394
25;Austria;4,161,004;6,76;18,2;17;4,070,732;6,978;72,072;83;457,218;2;183,522,680;20,165,767;9,100,704
26;Israel;4,085,418;2,457;10,699;;4,052,605;3,798;22,114;150;438,068;1,147;41,373,364;4,436,346;9,326,000
27;Belgium;4,071,279;;31,494;;3,839,678;;200,107;131;348,503;2,696;33,643,042;2,879,858;11,682,186
